"study_id","scd_id"
"HK1001","SCD66"
"HK1002","SCD67"
"HK1003","SCD68"
"HK1004","SCD69"
"HK1005","SCD70"
"HK1006","SCD73"
"HK1008","SCD72"
"HK1009","SCD82"
"HK1012","SCD75"
"HK1013","SCD76"
"HK1014","SCD77"
"HK1015","SCD83"
"HK1016","SCD137"
"HK1017","SCD79"
"HK1018","SCD80"
"HK1019","SCD84"
"HK1020","SCD81"
"HK1022","SCD106"
"HK1024","SCD88"
"HK1026","SCD91"
"HK1027","SCD86"
"HK1028","SCD138"
"HK1029","SCD107"
"HK1030","SCD90"
"HK1032","SCD87"
"HK1036","SCD92"
"HK1037","SCD154"
"HK1038","SCD93"
"HK1039","SCD94"
"HK1041","SCD139"
"HK1043","SCD109"
"HK1044","SCD129"
"HK1045","SCD110"
"HK1047","SCD97"
"HK1048","SCD98"
"HK1052","SCD99"
"HK1053","SCD112"
"HK1054","SCD100"
"HK1055","SCD122"
"HK1056","SCD101"
"HK1057","SCD130"
"HK1058","SCD103"
"HK1059","SCD104"
"HK1060","SCD140"
"HK1061","SCD102"
"HK1063","SCD105"
"HK1064","SCD113"
"HK1065","SCD145"
"HK1066","SCD156"
"HK1068","SCD141"
"HK1069","SCD114"
"HK1070","SCD115"
"HK1071","SCD116"
"HK1072","SCD111"
"HK1074","SCD147"
"HK1077","SCD142"
"HK1078","SCD143"
"HK1079","SCD117"
"HK1081","SCD132"
"HK1083","SCD124"
"HK1085","SCD125"
"HK1086","SCD126"
"HK1087","SCD118"
"HK1088","SCD119"
"HK1092","SCD150"
"HK1093","SCD157"
"HK1094","SCD127"
"HK1095","SCD133"
"HK1098","SCD128"
"HK1101","SCD136"
"HK1102","SCD144"
"HK1104","SCD151"
"HK1105","SCD152"
"HK1106","SCD153"
