,Observed_Species,Shannon,Simpson
ACC0105,662,4.134303262298965,0.9605226002943492
ACC0138,427,4.030418156973312,0.9581861827345444
MiREL002,537,4.065091160385181,0.9612358127875642
MiREL007,294,3.895119629053383,0.9576664916659913
MiRES013,323,3.763688237459933,0.957581628009711
MiRES002,292,3.510281088681266,0.9428235033257886
ACC0194,797,4.52436357651696,0.9664262780818245
ACC0038,324,4.102390782997827,0.962787227165934
ACC0002,187,3.6666398362628447,0.9622986978423353
MiREL011,167,3.3788074109285877,0.9438344514917709
ACC0070,418,4.041667043564857,0.962525001962391
ACC0101,279,3.589028229740924,0.9504419857877598
MiREL018,315,3.909552192906582,0.9571240283138849
ACC0061,199,3.9388784473848406,0.9622877122017246
ACC0049,534,4.0547895352943115,0.9601715509189949
MiREL006,482,3.92606407978297,0.9510291090567082
ACC0166,193,3.2735243107492784,0.9367482409759412
ACC0177,552,4.122811884252063,0.9593304182945382
MiREL014,335,3.5539842424037125,0.951084524674283
MiREL016,261,3.5848983756622124,0.9518940735978079
MiRES011,205,3.5974093040313333,0.9513520856478554
MiREL013,272,3.7141994365913202,0.9563593218089999
ACC0115,462,3.9422730884016115,0.9536251824726183
MiRES003,376,3.910016705391074,0.9587706312830289
MiREL020,401,3.945549585667947,0.9558791896923878
ACC0014,158,3.6517448593441477,0.9561708922963871
ACC0134,500,4.179584905086838,0.9611073809056494
MiREL019,472,4.368621553827272,0.9697091180282843
ACC0119,491,3.9248476914161325,0.9593225763198912
ACC0113,444,4.048821626169907,0.959270887494712
ACC0062,384,3.9302261634216076,0.9532391711128797
ACC0135,353,3.706855894546856,0.9451555416929107
ACC0118,891,4.530262831977245,0.9680071852020261
MiRES008,242,3.931522086351843,0.9600684593548852
ACC0127,832,4.205837842827428,0.9593983246195453
MiRES005,350,4.029558161811902,0.9616436295950117
ACC0031,362,4.098662076444888,0.9647831309761958
ACC0160,328,3.858646005501581,0.9552707396393962
MiREL005,505,4.093436960663002,0.9513312277126558
MiRES001,691,4.385328524171673,0.9644787234242735
MiRES012,371,3.909532163516393,0.9609166359157627
ACC0158,295,3.712882220923481,0.9565451157991272
ACC0085,323,3.9050595572059827,0.9570428151108241
MiRES009,478,4.008348325310159,0.9628336148755925
MiREL008,367,3.9685481624233168,0.9625335217744758
ACC0191,274,3.9101888352974883,0.9623005444313134
MiREL009,328,3.375593603597356,0.93682266825938
MiRES010,821,4.210502243960376,0.9632700900406455
MiREL015,400,3.981771007711262,0.9634921297815711
MiREL003,427,4.094572184996334,0.9655015923057537
ACC0020,231,3.6222582829811456,0.9511362996774991
MiREL001,378,3.419941406272488,0.9426506041003965
MiREL010,498,3.8107828083968256,0.9542736429041603
ACC0097,579,4.073659941545637,0.9547362607068077
ACC0189,760,4.309133102155568,0.965868224774205
ACC0088,354,4.125213759371536,0.9641984379989929
ACC0027,447,4.091210188538975,0.9609164343760532
ACC0136,323,3.595432062396703,0.9436290688696028
MiREL012,403,3.5673894322276114,0.9505942469442066
ACC0077,491,4.3202035693556216,0.9594517765590138
ACC0050,384,4.190561088692759,0.9641818715605822
ACC0121,304,3.835120988583363,0.9516551284593728
ACC0108,469,3.9630934366724158,0.954310758952523
ACC0092,396,4.072062845297271,0.9595018456996497
ACC0114,349,4.151413062729333,0.9660673418118542
ACC0035,585,4.320084902804318,0.962582866189605
ACC0162,323,3.743594472111098,0.9549009234633952
ACC0098,462,3.792422803211339,0.9551587872950053
ACC0157,299,3.504429113848218,0.9469139636679437
ACC0102,191,3.528070484003033,0.9553822851092616
ACC0093,218,3.9576177274947595,0.9641526333714434
ACC0037,290,3.659428383748364,0.9511627636785897
ACC0110,695,4.180429992381329,0.9591986188264253
ACC0159,231,3.958750689597279,0.9661573665355777
ACC0012,200,3.783592427408737,0.9610380404358971
ACC0072,891,4.396991231273354,0.9651162613448387
ACC0142,436,4.084775922055244,0.9611311203876709
ACC0147,785,3.8016445639570158,0.9499235175921362
MIRES001,841,4.473535387991538,0.9665741343735554
ACC0199,289,3.8631158271137314,0.9553144854812529
ACC0261,353,4.165730723939999,0.9612720701281856
MiREL017,299,3.58942793817911,0.9441420279580016
ACC0192,145,3.0375224729877353,0.9407507669038216
ACC0034,332,3.9738928275568024,0.9631580975048756
MiRES004,767,4.177542892449843,0.9522078086650465
ACC0197,382,3.684681975673141,0.9396538418807848
ACC0141,561,4.0055038899957,0.9609657551504881
ACC0013,343,3.760640449428037,0.9594884762911441
MIRES007,398,4.037219767730313,0.9605654526968985
ACC0004,978,4.480120670959835,0.9610292691057837
ACC0104,247,3.465723012068428,0.9405648498072375
ACC0265,342,3.643361823102593,0.9508931788092863
ACC0131,291,3.906010854974838,0.9598268848489224
MiRES007,366,3.8974639530417288,0.9563351536380698
ACC0107,681,4.187527679064102,0.950523414427613
ACC0056,310,4.0871617542137715,0.9651095227678091
ACC0083,465,3.9008553767006724,0.9575320040893447
ACC0036,364,3.9837382514884725,0.9591682730707227
ACC0163,464,4.089581897577405,0.9568698447055052
ACC0164,348,3.903243574347517,0.9531085921769411
ACC0074,213,3.515387259330862,0.9581590448183913
ACC0080,482,3.981288263561864,0.954648119334878
ACC0204,986,4.364494732246738,0.9640432048094151
ACC0078,609,4.0249782603753435,0.9495425711941391
ACC0066,285,3.8345883181800176,0.9587429530789927
ACC0169,310,3.7513460331893915,0.9531817414622586
ACC0008,757,4.393641716332246,0.9678783843497923
ACC0032,360,4.168046717017166,0.9630859201273125
ACC0103,887,4.492558936126134,0.9661930967228688
ACC0190,319,3.857611268840329,0.9607196166553851
ACC0047,453,4.012420894353861,0.9526586688857998
ACC0016,321,3.927241584760182,0.9538671673660997
ACC0065,296,4.16625262954884,0.9685881271733482
ACC0021,813,4.335950878340004,0.9611058835475967
ACC0133,550,4.08656310612797,0.9499382358246915
ACC0184,294,3.6879352099430127,0.952728461789223
ACC0087,777,4.2603609721066755,0.9632878135898988
ACC0167,187,3.8186885711174092,0.9641773692391825
ACC0054,409,3.686459635397854,0.9515321458276884
ACC0259,304,3.846873010669831,0.9580215238686985
ACC0009,289,3.8182514177800586,0.9617781691237561
ACC0125,433,4.013684630381755,0.964476983774904
ACC0096,279,3.3446303657036967,0.9399108411794717
ACC0023,832,4.271235835390017,0.9640359350765696
ACC0048,342,3.7732250803385505,0.9522201700257604
ACC0052,297,3.821553888901966,0.957780750695342
ACC0149,294,3.7724607752294492,0.9563531535243723
ACC0154,302,3.7819315634778077,0.9540028422077098
ACC0079,500,4.00455857487643,0.9587395491304558
ACC0057,274,3.5847888817918543,0.9426047931020887
ACC0064,391,4.079927642617549,0.9617112885508745
ACC0174,370,3.7960203624826176,0.9505509558381946
ACC0089,1241,4.7477073840909725,0.9686607635982041
